"Código","Municipio","Nivel Educativo","Cantidad de Personas"
1602,"Santa Cruz Verapaz","Primaria, 6",3843
1602,"Santa Cruz Verapaz","Basico",3495
1602,"Santa Cruz Verapaz","Diversificado",3037
1602,"Santa Cruz Verapaz","Licenciatura",930
1602,"Santa Cruz Verapaz","Maestria y doctorado",54
1603,"San Cristóbal Verapaz","Ninguno",19117
1603,"San Cristóbal Verapaz","Preprimaria",3247
1603,"San Cristóbal Verapaz","Primaria, 1-3",10504
1603,"San Cristóbal Verapaz","Primaria, 4-5",5592
1603,"San Cristóbal Verapaz","Primaria, 6",7918
1603,"San Cristóbal Verapaz","Basico",7447
1603,"San Cristóbal Verapaz","Diversificado",5687
1603,"San Cristóbal Verapaz","Licenciatura",1496
1603,"San Cristóbal Verapaz","Maestria y doctorado",83
1604,"Tactic","Ninguno",8978
1604,"Tactic","Preprimaria",1469
1604,"Tactic","Primaria, 1-3",7053
1604,"Tactic","Primaria, 4-5",3381
1604,"Tactic","Primaria, 6",4391
1604,"Tactic","Basico",3680
1604,"Tactic","Diversificado",3944
1604,"Tactic","Licenciatura",1219
1604,"Tactic","Maestria y doctorado",75
1605,"Tamahú","Ninguno",5433
1605,"Tamahú","Preprimaria",1095
1605,"Tamahú","Primaria, 1-3",3888
1605,"Tamahú","Primaria, 4-5",1835
1605,"Tamahú","Primaria, 6",2047
1605,"Tamahú","Basico",1765
1605,"Tamahú","Diversificado",1478
1605,"Tamahú","Licenciatura",169
1605,"Tamahú","Maestria y doctorado",17
1606,"San Miguel Tucurú","Ninguno",13831
1606,"San Miguel Tucurú","Preprimaria",2165
1606,"San Miguel Tucurú","Primaria, 1-3",6910
1606,"San Miguel Tucurú","Primaria, 4-5",3838
1606,"San Miguel Tucurú","Primaria, 6",6059
1606,"San Miguel Tucurú","Basico",3101
1606,"San Miguel Tucurú","Diversificado",2002
1606,"San Miguel Tucurú","Licenciatura",269
1606,"San Miguel Tucurú","Maestria y doctorado",20
1607,"Panzós","Ninguno",22624
1607,"Panzós","Preprimaria",3689
1607,"Panzós","Primaria, 1-3",13956
1607,"Panzós","Primaria, 4-5",7016
1607,"Panzós","Primaria, 6",8365
1607,"Panzós","Basico",4871
1607,"Panzós","Diversificado",2079
1607,"Panzós","Licenciatura",259
1607,"Panzós","Maestria y doctorado",41
1608,"Senahú","Ninguno",31003
1608,"Senahú","Preprimaria",3691
1608,"Senahú","Primaria, 1-3",16338
1608,"Senahú","Primaria, 4-5",8638
1608,"Senahú","Primaria, 6",11881
1608,"Senahú","Basico",6637
1608,"Senahú","Diversificado",2517
1608,"Senahú","Licenciatura",222
1608,"Senahú","Maestria y doctorado",34
1609,"San Pedro Carchá","Ninguno",64283
1609,"San Pedro Carchá","Preprimaria",10233
1609,"San Pedro Carchá","Primaria, 1-3",42806
1609,"San Pedro Carchá","Primaria, 4-5",23453
1609,"San Pedro Carchá","Primaria, 6",29163
1609,"San Pedro Carchá","Basico",24878
1609,"San Pedro Carchá","Diversificado",12006
1609,"San Pedro Carchá","Licenciatura",2619
1609,"San Pedro Carchá","Maestria y doctorado",189
1610,"San Juan Chamelco","Ninguno",15056
1610,"San Juan Chamelco","Preprimaria",2398
1610,"San Juan Chamelco","Primaria, 1-3",9803
1610,"San Juan Chamelco","Primaria, 4-5",4796
1610,"San Juan Chamelco","Primaria, 6",6241
1610,"San Juan Chamelco","Basico",6259
1610,"San Juan Chamelco","Diversificado",5365
1610,"San Juan Chamelco","Licenciatura",1518
1610,"San Juan Chamelco","Maestria y doctorado",79
1611,"San Agustín Lanquín","Ninguno",7209
1611,"San Agustín Lanquín","Preprimaria",982
1611,"San Agustín Lanquín","Primaria, 1-3",4614
1611,"San Agustín Lanquín","Primaria, 4-5",2479
1611,"San Agustín Lanquín","Primaria, 6",3247
1611,"San Agustín Lanquín","Basico",2092
1611,"San Agustín Lanquín","Diversificado",884
1611,"San Agustín Lanquín","Licenciatura",44
1611,"San Agustín Lanquín","Maestria y doctorado",9
1612,"Santa María Cahabón","Ninguno",18464
1612,"Santa María Cahabón","Preprimaria",2832
1612,"Santa María Cahabón","Primaria, 1-3",12786
1612,"Santa María Cahabón","Primaria, 4-5",6544
1612,"Santa María Cahabón","Primaria, 6",8160
1612,"Santa María Cahabón","Basico",6026
1612,"Santa María Cahabón","Diversificado",3065
1612,"Santa María Cahabón","Licenciatura",263
1612,"Santa María Cahabón","Maestria y doctorado",27
1613,"Chisec","Ninguno",25208
1613,"Chisec","Preprimaria",3486
1613,"Chisec","Primaria, 1-3",16579
1613,"Chisec","Primaria, 4-5",8491
1613,"Chisec","Primaria, 6",9633
1613,"Chisec","Basico",7482
1613,"Chisec","Diversificado",3256
1613,"Chisec","Licenciatura",409
1613,"Chisec","Maestria y doctorado",44
1614,"Chahal","Ninguno",7069
1614,"Chahal","Preprimaria",1044
1614,"Chahal","Primaria, 1-3",4622
1614,"Chahal","Primaria, 4-5",2627
1614,"Chahal","Primaria, 6",3578
1614,"Chahal","Basico",2718
1614,"Chahal","Diversificado",1740
1614,"Chahal","Licenciatura",240
1614,"Chahal","Maestria y doctorado",17
1615,"Fray Bartolomé de las Casas","Ninguno",19143
1615,"Fray Bartolomé de las Casas","Preprimaria",2806
1615,"Fray Bartolomé de las Casas","Primaria, 1-3",11755
1615,"Fray Bartolomé de las Casas","Primaria, 4-5",6374
1615,"Fray Bartolomé de las Casas","Primaria, 6",8223
1615,"Fray Bartolomé de las Casas","Basico",5923
1615,"Fray Bartolomé de las Casas","Diversificado",3800
1615,"Fray Bartolomé de las Casas","Licenciatura",773
1615,"Fray Bartolomé de las Casas","Maestria y doctorado",31
1616,"Santa Catalina La Tinta","Ninguno",11512
1616,"Santa Catalina La Tinta","Preprimaria",1759
1616,"Santa Catalina La Tinta","Primaria, 1-3",7149
1616,"Santa Catalina La Tinta","Primaria, 4-5",3642
1616,"Santa Catalina La Tinta","Primaria, 6",4385
1616,"Santa Catalina La Tinta","Basico",4246
1616,"Santa Catalina La Tinta","Diversificado",2849
1616,"Santa Catalina La Tinta","Licenciatura",354
1616,"Santa Catalina La Tinta","Maestria y doctorado",35
1617,"Raxruhá","Ninguno",9948
1617,"Raxruhá","Preprimaria",1218
1617,"Raxruhá","Primaria, 1-3",7017
1617,"Raxruhá","Primaria, 4-5",3627
1617,"Raxruhá","Primaria, 6",4496
1617,"Raxruhá","Basico",3816
1617,"Raxruhá","Diversificado",2296
1617,"Raxruhá","Licenciatura",272
1617,"Raxruhá","Maestria y doctorado",14
1701,"Flores","Ninguno",4679
1701,"Flores","Preprimaria",1715
1701,"Flores","Primaria, 1-3",6028
1701,"Flores","Primaria, 4-5",2925
1701,"Flores","Primaria, 6",4286
1701,"Flores","Basico",5254
1701,"Flores","Diversificado",7737
1701,"Flores","Licenciatura",2516
1701,"Flores","Maestria y doctorado",167
1702,"San José","Ninguno",1387
1702,"San José","Preprimaria",349
1702,"San José","Primaria, 1-3",1807
1702,"San José","Primaria, 4-5",950
1702,"San José","Primaria, 6",88
1702,"San José","Basico",1273
1702,"San José","Diversificado",331
1702,"San José","Licenciatura",182
1702,"San José","Maestria y doctorado",14
1703,"San Benito","Ninguno",5513
1703,"San Benito","Preprimaria",2193
1703,"San Benito","Primaria, 1-3",6558
1703,"San Benito","Primaria, 4-5",2952
1703,"San Benito","Primaria, 6",4511
1703,"San Benito","Basico",7044
1703,"San Benito","Diversificado",8849
1703,"San Benito","Licenciatura",2516
1703,"San Benito","Maestria y doctorado",220
1704,"San Andrés","Ninguno",7588
1704,"San Andrés","Preprimaria",1667
1704,"San Andrés","Primaria, 1-3",7520
1704,"San Andrés","Primaria, 4-5",3048
1704,"San Andrés","Primaria, 6",3479
1704,"San Andrés","Basico",3103
1704,"San Andrés","Diversificado",2529
1704,"San Andrés","Licenciatura",422
1704,"San Andrés","Maestria y doctorado",49
1705,"La Libertad","Ninguno",16763
1705,"La Libertad","Preprimaria",3400
1705,"La Libertad","Primaria, 1-3",16196
1705,"La Libertad","Primaria, 4-5",7095
1705,"La Libertad","Primaria, 6",8145
1705,"La Libertad","Basico",7577
1705,"La Libertad","Diversificado",4875
1705,"La Libertad","Licenciatura",661
1705,"La Libertad","Maestria y doctorado",96
1706,"San Francisco","Ninguno",2814
1706,"San Francisco","Preprimaria",1004
1706,"San Francisco","Primaria, 1-3",2861
1706,"San Francisco","Primaria, 4-5",1316
1706,"San Francisco","Primaria, 6",1798
1706,"San Francisco","Basico",2194
1706,"San Francisco","Diversificado",1544
1706,"San Francisco","Licenciatura",383
1706,"San Francisco","Maestria y doctorado",31
1707,"Santa Ana","Ninguno",4193
1707,"Santa Ana","Preprimaria",953
1707,"Santa Ana","Primaria, 1-3",4195
1707,"Santa Ana","Primaria, 4-5",1983
1707,"Santa Ana","Primaria, 6",2746
1707,"Santa Ana","Basico",2952
1707,"Santa Ana","Diversificado",2430
1707,"Santa Ana","Licenciatura",355
1707,"Santa Ana","Maestria y doctorado",23
